Limit_Bal,Gender,Education,Marriage,Age,Default_Payment,Avg_Repayment_Status,Max_Repayment_Status,Delayed_Months_Count,Med_Bill_Amount,Total_Bill_Amount,Med_Payment_Amount,Total_Payment_Amount,Payment_Ratio,Credit_Utilization_Ratio
50000,2,3,1,47,0,-1.0,-1,0,2727.5,40208,2729.5,39567,0.984033425352533,0.8041439171216576
50000,1,1,2,26,0,0.0,0,0,17035.5,97082,1250.0,6600,0.06798306603627824,1.9416011679766405
230000,2,1,2,27,0,-1.0,-1,0,15992.5,113746,14823.0,97489,0.85706875785735,0.4945456758883657
50000,1,2,2,33,1,0.3333333333333333,2,1,23448.5,151869,1000.0,6934,0.045657470204780407,3.037319253614928
100000,1,1,2,32,0,0.0,0,0,81919.0,495237,3202.0,18744,0.03784846881701323,4.952320476795232
500000,2,2,1,54,0,-2.0,-2,0,9955.0,125744,15174.0,158502,1.260503399737564,0.25148749702500595
500000,1,1,1,58,0,-2.0,-2,0,5149.5,58318,4093.0,45425,0.778905673965603,0.11663576672846654
160000,1,1,2,30,0,-1.5,-1,0,-725.0,25312,396.0,2280,0.09007229486824951,0.15819901125617966
280000,1,2,1,40,0,0.0,0,0,178917.5,1069977,6568.5,41923,0.03918117942611904,3.8213327809543536
60000,2,2,2,22,0,-0.16666666666666666,0,0,10437.0,32279,1509.0,53349,1.6526951672862453,0.5379743670938818
50000,1,1,2,25,1,-1.1666666666666667,1,1,0.0,780,0.0,780,0.998719590268886,0.015599688006239875
280000,1,1,2,31,0,-0.3333333333333333,2,1,9276.0,51643,8537.5,37357,0.7233560529780807,0.18443862700490354
360000,1,1,2,33,0,0.0,0,0,212781.5,1650751,8500.0,243840,0.1477144961811344,4.585406707203591
70000,2,1,2,25,0,0.0,0,0,65344.0,392856,2900.0,19342,0.04923419972152717,5.612148397880031
10000,1,2,2,22,0,0.0,0,0,3623.0,22761,1000.0,7227,0.3175028556365873,2.275872412758724
140000,2,2,1,37,0,0.0,0,0,63602.5,385134,3000.0,20000,0.051929842782400974,2.7509374933036193
40000,2,1,2,30,0,0.3333333333333333,2,1,25565.0,147185,2500.0,13000,0.08832361773538244,3.679533011674708
210000,1,1,2,29,1,-2.0,-2,0,0.0,0,0.0,0,0.0,0.0
20000,2,1,2,22,1,0.16666666666666666,2,1,16070.5,79328,167.0,20075,0.25306004109468166,3.966201689915504
150000,2,4,2,46,1,-0.5,0,0,1170.0,9837,0.0,2183,0.2218946940435048,0.06557956280291465
380000,1,2,2,32,0,-1.0,-1,0,18337.0,114815,13506.5,93332,0.8128832218506131,0.30214394172646913
20000,1,1,2,24,0,0.0,0,0,19670.5,115810,998.5,6246,0.0539327006933711,5.790210489475526
70000,1,3,2,42,1,1.5,2,5,38507.0,229012,1500.0,8100,0.03536917118242196,3.271553263524807
100000,2,3,3,43,0,0.0,0,0,41721.5,265185,1553.0,9606,0.036223631715098084,2.6518234817651822
310000,2,2,1,49,0,-2.0,-2,0,7733.5,44125,5572.0,30668,0.6950097448216471,0.1423382505217725
180000,2,1,2,25,0,0.5,2,2,43134.0,259151,1762.0,10246,0.03953664258813361,1.4397197793345593
150000,2,1,2,29,0,0.3333333333333333,2,1,28976.0,176751,1659.0,12867,0.07279691318910111,1.1783321444523702
500000,2,1,1,45,0,-2.0,-2,0,1033.5,8388,156.5,6483,0.7727977112885922,0.016775966448067104
180000,2,3,1,34,0,-0.5,0,0,8381.0,55404,4750.0,29179,0.5266492193845321,0.30779829000949993
180000,2,2,1,34,0,0.0,0,0,170458.0,952362,5034.5,34062,0.035765774184843384,5.290870606274409
200000,2,1,2,34,0,1.6666666666666667,3,5,1132.0,6747,0.0,1900,0.2815649081209247,0.03373483132584337
400000,2,2,1,29,0,0.0,0,0,381473.0,2284140,16014.5,109029,0.04773304274998785,5.710335724160689
500000,2,3,1,28,1,0.0,0,0,17224.5,109699,1408.0,8816,0.08036463081130356,0.21939756120487758
70000,1,2,1,39,0,-0.16666666666666666,0,0,43228.0,244242,2047.5,12120,0.04962271180750318,3.4891215839773717
50000,1,1,2,29,1,2.0,2,6,26228.0,157674,600.0,6125,0.038845726970033294,3.1534169316613667
50000,2,2,1,46,1,-1.0,0,0,0.0,57884,0.0,1000,0.01727563272004837,1.1576568468630628
130000,2,2,1,51,0,-1.3333333333333333,-1,0,0.0,2452,0.0,2353,0.9592335915205871,0.018861393373897122
200000,1,1,1,57,1,-0.5,2,2,76137.0,469636,150.0,9522,0.020275233850825213,2.348168259158704
10000,1,2,1,56,1,1.0,2,3,4127.5,22852,180.0,3010,0.1317113726862994,2.284971502849715
210000,2,1,2,30,0,-0.5,2,1,729.5,8589,1034.0,9198,1.070779976717113,0.040899805239022674
130000,2,3,2,29,0,-0.5,2,2,3564.5,7901,3659.5,41379,5.236522399392559,0.06077645556572642
20000,1,4,2,22,0,0.3333333333333333,2,1,17244.5,88326,750.0,3700,0.041889795872156875,4.416079196040198
80000,1,1,2,31,0,-1.0,-1,0,390.0,2340,390.0,1950,0.8329773601025203,0.029249634379570254
320000,1,2,2,29,1,2.0,2,6,59715.0,362152,2450.0,13800,0.03810544162273956,1.131721463370427
200000,2,2,1,32,0,-0.5,2,1,4547.5,26425,2280.0,19512,0.7383637326875048,0.13212433937830312
290000,2,1,2,37,0,-0.8333333333333334,1,1,0.0,5514,0.0,5514,0.999818676337262,0.019013727538870557
340000,1,1,2,32,0,-1.0,-1,0,14443.5,142199,14583.0,141997,0.9985724331926864,0.4182311228496387
20000,1,2,2,24,0,0.3333333333333333,2,1,17096.0,101328,620.0,5590,0.05516683279219177,5.066146692665367
50000,1,3,2,25,0,-0.16666666666666666,0,0,23058.5,145406,1000.0,6358,0.04372554278679844,2.9080618387632247
300000,2,1,1,45,0,-1.0,-1,0,291.0,1746,291.0,1746,0.9994275901545506,0.005819980600064666
30000,2,2,2,22,1,0.0,0,0,28195.5,149186,1543.0,8411,0.05637890700932387,4.972700909969667
240000,2,2,2,44,1,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
470000,2,3,3,33,0,0.0,0,0,113853.5,614823,3000.0,21926,0.035662238299090473,1.308131259295193
360000,2,1,2,26,0,-0.16666666666666666,0,0,29098.0,294903,3250.0,161355,0.5471441553861596,0.8191727245202096
60000,1,3,2,30,1,0.0,0,0,24158.5,143566,954.0,5345,0.0372300041095795,2.3927267878868688
400000,2,2,1,44,0,0.3333333333333333,2,1,115904.5,700952,3025.0,22753,0.03246009361540645,1.7523756190609523
50000,2,3,2,49,0,0.0,0,0,20951.5,177499,837.5,6052,0.03409577464788732,3.5499090018199637
160000,1,2,2,33,0,0.0,0,0,118412.5,667013,4500.0,101747,0.15254102612538867,4.168805194967532
360000,2,1,1,45,1,-0.3333333333333333,2,1,390.0,3510,390.0,2340,0.6664767872401025,0.009749972916741899
160000,2,2,2,32,0,-0.16666666666666666,0,0,5677.5,31623,1573.5,8216,0.2598026815077157,0.1976425147342829
130000,2,1,1,35,0,-0.5,0,0,12417.5,226534,3545.0,56705,0.2503145209349549,1.7425558264936423
20000,1,3,2,44,0,1.0,2,3,10069.5,61309,1250.0,6151,0.10032621105855488,3.065296735163242
200000,1,1,1,53,1,2.0,2,6,143279.0,862167,5500.0,32800,0.03804362954783754,4.31081344593277
280000,2,1,2,39,0,-0.8333333333333334,0,0,1934.0,15360,0.0,3968,0.2583165158518326,0.05485694693947522
100000,2,1,2,27,0,-2.0,-2,0,0.0,3555,0.0,7555,2.124578177727784,0.03554964450355497
160000,2,2,1,37,0,-1.1666666666666667,-1,0,840.0,4162,840.0,11018,2.646649051165025,0.026012337422891108
60000,2,2,2,23,0,0.0,0,0,32621.5,197839,825.5,6261,0.03164678528103518,3.297261712304795
90000,1,2,2,35,0,0.0,0,0,59645.0,354716,1161.0,11756,0.0331419131307493,3.941245097276697
360000,1,1,1,43,0,-0.8333333333333334,0,0,7386.5,58460,10620.5,120613,2.0631361078325723,0.16238843780989498
150000,1,1,2,27,0,0.0,0,0,86916.5,479411,3648.5,23841,0.04972966884433431,3.1960520263198244
50000,2,3,1,22,0,0.0,0,0,15073.5,83794,350.0,3783,0.04514589175965153,1.6758464830703386
20000,1,2,1,38,1,-0.16666666666666666,0,0,18106.5,93217,1043.0,5685,0.060986075650625415,4.660616969151542
140000,1,1,2,32,0,-2.0,-2,0,761.0,13679,632.5,13007,0.9508040935672515,0.09770644495396462
380000,2,1,2,30,0,-0.8333333333333334,0,0,32683.0,132602,1223.5,42019,0.31687820034237535,0.34895171328496505
480000,1,1,1,63,0,0.6666666666666666,2,2,470553.0,2761015,17500.0,130971,0.047435798995732005,5.752102599786251
50000,2,3,2,22,1,0.0,0,0,35421.5,205366,998.5,6870,0.03345230733272629,4.107237855242895
60000,2,2,2,26,0,1.6666666666666667,2,5,56066.0,342038,2755.5,13517,0.03951888527331678,5.70053832436126
70000,2,2,2,24,0,-1.5,-1,0,0.0,32109,0.0,28529,0.8884771099345998,0.45869344723646804
80000,2,2,1,36,0,-1.0,-1,0,3069.0,17865,2005.5,12794,0.716108810030225,0.22330970862864213
350000,1,1,2,52,0,-1.0,-1,0,1008.5,10987,1711.0,15285,1.391062977793957,0.03139133888188891
130000,1,2,2,38,0,-0.5,0,0,123525.5,680938,7852.0,287768,0.42260466796585305,5.237944323505204
360000,1,2,1,35,0,-1.5,1,1,-103.0,-618,0.0,0,-0.0,-0.001716661898161394
330000,2,1,1,31,0,0.3333333333333333,2,1,106193.5,639580,3846.5,32747,0.05120070796349485,1.9381153390444272
50000,1,3,1,47,0,0.3333333333333333,2,1,15554.5,93139,1000.0,7000,0.0751556796220743,1.862742745145097
280000,1,2,1,41,0,2.1666666666666665,3,6,141466.5,855008,5750.0,40604,0.04748955858944175,3.0535890943246633
100000,2,1,2,24,0,0.0,0,0,55276.5,335186,2838.5,17866,0.05330158985879524,3.351826481735183
50000,1,2,2,41,0,0.0,0,0,20108.0,119110,721.0,5471,0.04593194583203902,2.382152356952861
30000,1,1,2,24,1,1.0,3,3,19661.5,117660,1000.0,6312,0.05364564299130553,3.921869271024299
240000,1,1,2,28,0,-1.0,-1,0,326.0,7456,401.0,7656,1.0266863349872604,0.03106653722276157
80000,1,2,2,26,1,0.3333333333333333,2,1,16842.5,99022,1000.0,7700,0.07775971239005079,1.2377595280059
400000,1,2,1,34,0,-1.0,-1,0,10766.5,71828,8818.0,57891,0.8059558117195005,0.1795695510761223
240000,2,2,2,38,0,-0.3333333333333333,0,0,50849.5,209703,1653.5,11073,0.05280299851218861,0.8737588593380861
50000,1,3,2,37,1,2.1666666666666665,3,6,48902.0,290245,1200.0,10235,0.03526319053492555,5.804783904321914
450000,1,1,1,40,1,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
110000,2,1,1,48,0,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
310000,2,2,1,35,1,0.3333333333333333,2,1,281800.5,1626538,8503.0,53973,0.03318272725092974,5.2468798487746815
20000,1,1,2,27,0,0.0,0,0,19206.5,112100,730.5,4308,0.038429630422565364,5.6047197640118
20000,1,2,2,23,0,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
200000,1,3,2,52,0,0.0,0,0,102030.0,617685,3635.5,22056,0.03570746301518895,3.08840955795221
180000,1,1,1,36,1,0.0,0,0,98515.5,668882,2179.5,14771,0.022083084784633486,3.7159904667196293
50000,1,2,1,51,1,0.0,0,0,4925.0,30548,1133.0,6200,0.20295263347409082,0.6109477810443791
60000,1,3,1,55,0,1.1666666666666667,3,3,43377.0,264125,1200.0,7511,0.0284371852827817,4.402009966500558
30000,2,1,2,23,0,-1.1666666666666667,1,1,4822.5,32776,4576.5,31886,0.9728163041156909,1.092496916769441
240000,1,1,2,41,0,-0.3333333333333333,1,1,2179.5,11279,1330.5,8944,0.7929078014184398,0.04699563751817701
420000,1,2,1,34,0,0.0,0,0,225000.0,1349911,8691.5,53309,0.039490722358198165,3.2140661569853406
330000,1,3,1,46,0,0.0,0,0,227989.0,1369317,8187.5,49096,0.03585434500970556,4.1494328805064224
30000,2,2,2,22,0,0.0,0,0,25747.5,123482,950.0,5460,0.04421661281309978,4.1159294690177
240000,1,2,1,34,0,1.0,2,3,13475.0,77708,663.5,4627,0.059542652717188484,0.3237819842417323
150000,1,1,2,27,0,0.0,0,0,23307.0,140829,3000.0,20000,0.14201519562593198,0.9388537409750601
210000,2,2,1,33,0,0.0,0,0,7581.5,43256,1250.0,7046,0.16288693159488637,0.20597997152394512
50000,2,3,1,51,1,-1.3333333333333333,-1,0,150.0,6932,0.0,6180,0.8913890090869754,0.13863722725545488
50000,1,1,2,24,0,0.0,0,0,34508.0,208330,1350.0,8960,0.043008481694994986,4.166516669666606
240000,1,1,2,47,1,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
180000,1,2,2,28,0,-1.0,-1,0,416.0,3828,458.0,5580,1.4572995560198485,0.021266548519174894
50000,1,2,2,23,0,1.1666666666666667,2,4,18972.0,99487,750.0,13500,0.135694757156642,1.9897002059958802
170000,1,2,2,29,0,-2.0,-2,0,10000.0,67988,10000.0,65846,0.9684801953257145,0.39992705925259264
20000,1,1,2,29,0,-0.8333333333333334,0,0,1769.5,26510,1342.0,23641,0.8917430500546942,1.3254337283135844
50000,1,1,2,28,0,0.5,3,1,8255.0,48184,1300.0,7183,0.1490712877451489,0.9636607267854643
170000,2,2,2,27,1,0.0,0,0,18593.5,105012,354.5,3752,0.03572890975403045,0.6177140134469797
200000,1,1,2,34,0,0.5,2,2,133950.5,794273,6500.0,87000,0.10953398953006141,3.9713451432742835
80000,2,2,1,23,0,1.3333333333333333,3,4,10164.0,61950,190.0,4121,0.06652031444205905,0.7743653204334946
260000,2,1,1,60,0,-0.8333333333333334,1,1,434.5,21038,484.5,24469,1.1630305622890822,0.08091507340356384
140000,1,2,1,32,0,0.3333333333333333,2,1,66492.0,411323,2856.0,16267,0.039547898979879606,2.9380004428539794
80000,1,1,2,25,0,0.0,0,0,42197.5,256528,7000.0,63000,0.24558626899882666,3.206559918001025
350000,1,1,2,41,0,-0.8333333333333334,1,1,419.0,4744,315.0,4536,0.9559536354056902,0.013554246987865748
280000,2,2,1,56,0,0.0,0,0,173228.0,971621,6850.0,133200,0.13709034995090683,3.470062606919261
30000,2,3,2,26,0,0.0,0,0,11681.0,70072,1500.0,8700,0.12415623706705864,2.3356554781507284
140000,1,1,1,34,0,0.0,0,0,37601.0,222980,5000.0,35389,0.15870858952108027,1.5927029092649339
200000,2,1,2,37,0,0.0,0,0,93268.0,575407,3530.0,22560,0.03920696271167589,2.8770206148969257
200000,2,3,2,30,0,0.0,0,0,178343.5,1018160,6654.0,37788,0.03711397313391497,5.090774546127269
210000,1,3,1,45,1,4.0,6,6,133562.0,805451,10778.0,65268,0.0810327617288181,3.835462688272913
50000,1,3,1,57,0,0.8333333333333334,3,2,13437.0,79884,550.0,3800,0.0475683795455968,1.5976480470390593
30000,1,1,2,41,0,1.6666666666666667,2,5,27516.0,162596,1225.0,8150,0.05012392602569543,5.419686010466318
50000,1,2,2,27,0,0.0,2,2,465.0,3396,390.0,2640,0.7771563143950545,0.06791864162716746
290000,1,3,1,47,0,-0.8333333333333334,0,0,409.5,3637,396.0,2376,0.6531061022539857,0.012541336064358399
250000,2,1,1,34,0,0.3333333333333333,2,1,154400.0,918942,5562.5,39850,0.043365040051450414,3.675753296986812
60000,2,2,1,46,0,0.0,0,0,25471.0,150304,1500.0,10000,0.06653138618143109,2.505024916251396
110000,2,1,2,27,0,0.0,0,0,89447.0,539339,3000.0,21100,0.03912188971706159,4.903037245115954
370000,1,1,2,50,0,-2.0,-2,0,10828.5,63070,10828.5,61944,0.9821312489099586,0.1704589987594628
100000,1,2,1,27,0,0.5,2,2,44080.0,310089,1364.0,55906,0.1802895933438679,3.1008589914100857
90000,2,2,1,35,0,0.3333333333333333,2,1,76421.5,472951,3576.0,24652,0.052123682741588996,5.254952722747525
50000,2,2,2,22,0,0.0,0,0,28562.0,171359,1147.0,6795,0.03965336134453781,3.427111457770845
270000,1,2,2,37,0,0.0,0,0,29066.0,180209,3000.0,19000,0.10543255091282393,0.6674382687471528
300000,2,1,2,30,0,-1.0,-1,0,1736.0,11780,1736.0,11846,1.0055173584585348,0.039266535778214075
50000,2,2,2,22,0,-0.16666666666666666,0,0,8146.0,53787,3000.0,31149,0.5791068639845318,1.0757184856302875
50000,2,1,2,24,1,-1.5,1,1,-1803.5,-11569,0.0,0,-0.0,-0.23137537249255014
360000,1,1,2,29,0,-1.1666666666666667,1,1,0.0,77,0.0,77,0.9871794871794872,0.00021388829475473678
130000,1,3,1,56,1,2.0,3,6,67919.5,410575,3000.0,14500,0.03531623865009158,3.158244936577411
80000,1,1,2,30,0,-0.5,0,0,1678.5,15624,502.0,6004,0.384256,0.19529755878051525
50000,1,2,2,30,0,0.8333333333333334,2,3,39011.0,220483,1250.0,6500,0.029480597231545145,4.409571808563829
20000,2,2,2,22,0,0.0,0,0,13627.5,83914,1206.5,6913,0.08238098075433474,4.195490225488726
80000,2,2,1,29,0,0.3333333333333333,2,1,69675.0,323559,800.0,8800,0.027197428606749906,4.044436944538194
240000,1,1,2,37,0,-0.16666666666666666,2,1,25805.0,118261,1628.0,84191,0.7119023862271905,0.4927521135328603
80000,2,3,2,35,0,-0.16666666666666666,0,0,17412.0,129487,3000.0,29000,0.22395897689361177,1.6185672679091512
500000,2,1,1,47,0,0.0,0,0,109587.0,579243,30178.5,222550,0.3842076914046585,1.158483683032634
60000,2,2,1,24,1,0.0,0,0,34117.0,222443,1800.0,10837,0.04871787955620291,3.7073215446409225
20000,1,2,2,25,0,-0.16666666666666666,0,0,11159.5,50904,900.5,5353,0.10515666437481583,2.5450727463626817
100000,2,2,1,38,1,0.8333333333333334,2,3,15595.5,92351,1250.0,5600,0.060637560637560636,0.9235007649923501
360000,2,1,2,32,0,-0.6666666666666666,1,1,15060.5,163546,27281.5,199288,1.2185365674699016,0.45429318251893747
200000,2,3,2,47,1,2.0,2,6,197811.0,1182582,6918.0,35984,0.03042830820331427,5.912880435597822
130000,2,2,1,34,0,0.0,1,1,11923.0,57742,2750.0,17397,0.3012832724312904,0.44416581410912226
20000,2,2,2,31,0,3.1666666666666665,5,6,20961.0,125792,0.0,1760,0.013991239576129038,6.289285535723214
310000,1,1,2,32,0,0.0,0,0,61244.5,353740,5545.5,40419,0.11426156425181136,1.1410930932480863
60000,2,1,2,27,1,0.6666666666666666,2,2,22084.0,130018,1121.0,6752,0.05193087164183696,2.166930551157481
180000,2,1,2,29,0,-1.0,0,0,5792.5,45854,270.0,22881,0.4989859339221459,0.2547430292053933
180000,2,1,2,24,0,-0.3333333333333333,2,1,12435.0,68239,0.0,38067,0.5578399765533412,0.37910344942528096
50000,1,2,1,36,0,-0.3333333333333333,0,0,9386.0,84870,1500.0,26511,0.31236818230019675,1.6973660526789465
50000,2,1,2,24,1,1.8333333333333333,2,6,38071.0,228759,1566.0,8132,0.035548172757475086,4.575088498230035
150000,2,2,1,34,0,-2.0,-2,0,0.0,1616,0.0,1616,0.9993815708101422,0.010773261511589922
20000,2,1,2,22,0,-0.16666666666666666,0,0,18966.5,103511,1016.0,24766,0.23925728417961203,5.175291235438228
500000,2,1,1,34,0,-1.5,-1,0,1178.5,6457,1228.5,21861,3.3851037472901826,0.012913974172051656
30000,2,3,2,22,1,0.8333333333333334,2,3,28566.0,117854,94.5,2903,0.024631963005387978,3.928335722142595
180000,2,1,1,38,0,-2.0,-2,0,0.0,750,0.0,0,0.0,0.0041666435186471186
140000,1,1,2,31,0,0.6666666666666666,2,2,23674.0,130872,2750.0,38300,0.292650126458475,0.9347933229048364
140000,2,1,2,26,0,-0.8333333333333334,0,0,13212.5,64236,8502.0,49839,0.7758612637576474,0.4588252941050421
120000,1,2,2,26,0,0.0,0,0,114868.0,688894,5000.0,29152,0.04231704396170679,5.7407354938708846
360000,2,2,1,48,0,0.0,0,0,208320.5,1202779,5700.0,37500,0.031177771496034186,3.341043497101397
20000,1,3,1,43,0,-0.3333333333333333,0,0,19394.5,98941,1579.5,31538,0.3187524003961917,4.946802659867006
100000,1,1,1,47,0,-1.0,-1,0,390.0,3033,390.0,5023,1.6555702043506921,0.03032969670303297
210000,2,2,1,41,1,-1.0,-1,0,1231.5,9657,648.0,6988,0.7235452474632429,0.045985495307165204
80000,2,2,2,24,1,0.0,0,0,64583.5,391407,2019.0,13838,0.0353544127866574,4.892526343420707
330000,2,1,1,50,0,-1.3333333333333333,-1,0,2281.5,19462,1705.5,10868,0.5583928479679392,0.05897557886188224
220000,1,1,2,24,0,-0.5,0,0,95619.5,419979,5025.0,103985,0.2475951235773132,1.9089867773328304
210000,2,1,1,38,1,-0.6666666666666666,1,1,186.5,2384,519.5,11877,4.979874213836478,0.011352326893681458
40000,2,3,1,43,0,0.0,0,0,37155.0,215945,1500.0,8404,0.038917136691580305,5.398490037749056
30000,1,2,2,39,0,0.3333333333333333,2,1,15690.0,103603,1500.0,8493,0.08197559939770666,3.453318222725909
470000,1,2,2,27,0,1.3333333333333333,2,4,306494.0,2002818,10661.0,55690,0.02780580771402708,4.261305827008878
30000,1,3,1,42,0,-0.5,2,1,390.0,3510,315.0,2490,0.7091996582170322,0.11699610012999567
240000,2,2,1,36,1,-1.5,1,1,-946.0,-5676,0.0,0,-0.0,-0.023649901458743922
80000,1,2,2,36,0,0.3333333333333333,2,1,78517.5,470809,3250.0,19500,0.04141798177608802,5.885038937013287
110000,2,3,3,31,0,0.0,0,0,76301.5,453847,3500.0,26954,0.05938992790537801,4.1258443105062685
310000,2,1,2,38,0,-1.3333333333333333,-1,0,63.0,6092,0.0,4668,0.7661250615460364,0.01965154951113061
360000,2,1,1,40,1,1.0,2,3,115079.0,685565,4850.0,32100,0.04682262539274118,1.9043419323835211
330000,2,3,2,45,0,0.0,0,0,335075.0,2005418,12295.5,73223,0.03651256919376948,6.077005827255069
300000,2,2,2,35,0,0.0,0,0,214167.5,1431315,12009.5,74582,0.05210729147162471,4.771034096553011
320000,2,2,2,33,0,0.0,0,0,78783.0,437268,4399.5,41866,0.09574426725882694,1.3664582298180319
50000,2,3,2,37,1,1.0,3,3,39799.5,243968,1100.5,34317,0.14066131352753833,4.879262414751705
170000,2,1,2,28,0,0.0,0,0,128869.5,772102,4919.5,48549,0.06287891641400176,4.5417497544132095
350000,1,3,1,44,0,-1.1666666666666667,-1,0,1216.5,8384,284.5,5119,0.610494931425164,0.02395421727366493
20000,1,2,1,37,0,0.0,0,0,18709.0,108461,808.0,7564,0.06973871033172908,5.422778861056947
50000,1,2,2,23,1,0.3333333333333333,2,1,32681.5,202501,1504.0,9074,0.044809433980898955,4.049939001219975
20000,2,3,2,24,0,0.5,2,2,12431.5,63912,300.0,5133,0.08031229953217656,3.1954402279886005
50000,2,1,2,24,0,0.0,0,0,25178.5,132930,1006.5,6732,0.050642814693337146,2.6585468290634187
20000,1,2,2,23,1,0.8333333333333334,2,3,16865.5,94656,1000.0,13200,0.13945085941874347,4.732563371831408
50000,1,2,1,26,0,-0.6666666666666666,0,0,24095.5,197548,1873.5,51938,0.26291198639324925,3.9508809823803523
190000,1,2,2,34,1,1.0,2,3,137249.5,828058,5000.0,34887,0.042131055878868534,4.358177062225988
60000,2,2,1,33,0,0.0,0,0,20814.0,175794,905.5,5935,0.03376091470178333,2.929851169147181
80000,1,1,2,35,0,-1.0,-1,0,5412.5,41852,3200.5,36293,0.8671540869232791,0.5231434607067411
150000,2,2,2,27,0,0.0,0,0,47965.5,399780,1655.5,12625,0.03157978993498941,2.6651822321184526
210000,2,1,2,31,0,-1.6666666666666667,-1,0,1866.5,18130,2796.0,19989,1.1024764215983673,0.08633292222417989
240000,2,3,1,50,1,0.0,0,0,214668.0,1313227,8008.5,50997,0.038833317596030544,5.4717563676818015
140000,2,2,3,41,1,0.0,0,0,19207.0,115854,2298.5,13597,0.11736222001639982,0.8275226605524246
60000,2,1,2,28,0,0.0,2,3,1142.5,44436,0.0,2285,0.051421113036433604,0.7405876568723855
50000,1,1,2,39,0,0.0,0,0,47574.0,241244,2000.0,12800,0.05305809446827914,4.824783504329913
50000,2,2,2,27,0,0.0,0,0,28333.0,169234,1200.0,7950,0.04697609832481461,3.384612307753845
180000,2,1,2,32,0,0.0,2,2,2821.0,14634,88.0,5818,0.39754014349162964,0.08129954833584258
30000,2,1,2,40,0,1.0,2,4,109.0,613,60.0,595,0.9690553745928339,0.02043265224492517
